gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM5G847982	0.2852268184142929	61766	3.138562092775555	0.15575	4.0	0.623	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G079185	0.27804611272301694	61766	3.059438020799379	0.15575	4.0	0.623	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G445169	0.27704541500716845	61766	3.0484113499540073	0.15575	4.0	0.623	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G067122	0.27528734576760294	61766	3.029039215371262	0.15575	4.0	0.623	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
AC199067.2_FG004	0.26726410048015947	61766	2.940631214138533	0.20866666666666667	6.0	1.252	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G020500	0.2600601923849667	61766	2.861251475274385	0.20866666666666667	6.0	1.252	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G063533	0.24895991935816586	61766	2.738937758532748	0.22163636363636366	11.0	2.438	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G034471	0.24279842478820898	61766	2.6710443562970334	0.22163636363636366	11.0	2.438	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G111679	0.2414905047684609	61766	2.6566324081917996	0.22163636363636366	11.0	2.438	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G166297	0.23305575628016542	61766	2.563690060296987	0.22163636363636366	11.0	2.438	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G327059	0.2281379850469848	61766	2.509501224025742	0.22163636363636366	11.0	2.438	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G121151	0.22505456940443427	61766	2.47552512032189	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G434098	0.21849303278687776	61766	2.4032236616738056	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G446213	0.21572901150907509	61766	2.372766958958048	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G406974	0.20882744434023542	61766	2.296718709538896	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G083538	0.20679734560412844	61766	2.2743490866326646	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM5G882228	0.20596096670853772	61766	2.2651330420293503	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G127537	0.20564286502912651	61766	2.2616278851186506	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G107076	0.20504859917531057	61766	2.25507967994051	0.24742105263157893	19.0	4.701	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G096683	0.19903036437928676	61766	2.1887648546791647	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G109865	0.19898266352047878	61766	2.188239239739921	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G095964	0.1964712589746341	61766	2.160566116430031	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G025685	0.19547761415663575	61766	2.149617161344241	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G156950	0.19136682269296096	61766	2.104320421213808	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G083725	0.19058744235992975	61766	2.095732442786771	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G383601	0.1891957316542643	61766	2.0803972065607725	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G443345	0.18896670198937968	61766	2.0778735326395554	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G433847	0.18864063278956733	61766	2.074280581759183	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G412430	0.18746051093314023	61766	2.06127683940806	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G115481	0.18553396324049182	61766	2.0400482436610083	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G007899	0.18333944325816662	61766	2.0158668658828307	0.27564516129032257	31.0	8.545	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G410766	0.18084873025308223	61766	1.988421742303163	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G002128	0.17783300354943743	61766	1.9551915018478874	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM5G809195	0.1760555953795669	61766	1.9356062719261622	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G149093	0.17372354276086438	61766	1.9099094244034145	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G074761	0.173473175038634	61766	1.9071506267968872	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G106702	0.17197502410405946	61766	1.8906425275271361	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G007867	0.17158078475073837	61766	1.8862984109027887	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G124441	0.17155975328226175	61766	1.886066665514932	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G017145	0.16603557720780374	61766	1.8251958647723918	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G121468	0.16460616050554172	61766	1.809445146821211	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G043183	0.1633499306739385	61766	1.795602772006274	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G177914	0.1623964488578368	61766	1.7850963723446276	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G169943	0.1623687952513928	61766	1.784791657732896	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM5G888250	0.1608166606125165	61766	1.767688712957932	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G022359	0.16081382973156763	61766	1.7676575195296553	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
AC205122.4_FG010	0.15930410872539905	61766	1.7510219298408651	0.31670212765957445	47.0	14.885	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G091839	0.15511162874734505	61766	1.7048250653815347	0.42225862068965514	58.0	24.491	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G074236	0.15510361399208022	61766	1.7047367509317144	0.42225862068965514	58.0	24.491	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G335242	0.15280217828678147	61766	1.679377270648901	0.42225862068965514	58.0	24.491	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G104882	0.15226402988038254	61766	1.6734474226545033	0.42225862068965514	58.0	24.491	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
GRMZM2G169259	0.151496473530326	61766	1.6649897324916227	0.42225862068965514	58.0	24.491	0.00039452756856416156	0.09075247913729827	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.027	1000	density	strongest
