gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G121151	18	1570	5.262892724755671	12.737107275244329	4.278794310906123	1.18	1.0	1.18	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G120652	18	1685	4.329919898861979	13.670080101138021	3.514610773859823	1.175	2.0	2.35	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G337819	6	232	4.117828733849246	1.8821712661507541	3.340890197914379	1.0233333333333332	3.0	3.07	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G153648	13	1128	3.848753499060127	9.151246500939873	3.1204948563290054	0.9975	4.0	3.99	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G010871	6	326	3.355224858770923	2.644775141229077	2.7162532198069695	1.252	5.0	6.26	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G002128	7	482	3.0896269384281743	3.9103730615718257	2.498706092423873	0.97625	8.0	7.81	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G446213	16	1605	2.978944473396721	13.021055526603279	2.4080478060630472	0.97625	8.0	7.81	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G142664	5	258	2.9068957471254544	2.0931042528745456	2.3490338144937675	0.97625	8.0	7.81	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G160585	9	783	2.6476719767412042	6.352328023258796	2.1367076542447165	0.9890000000000001	10.0	9.89	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G166297	6	417	2.616959405237653	3.383040594762347	2.111551464405115	0.9890000000000001	10.0	9.89	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
AC199067.2_FG004	5	323	2.379563280315976	2.620436719684024	1.9171039892067288	1.03	12.0	12.36	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G320325	3	101	2.1806064746498874	0.8193935253501128	1.754141562806253	1.03	12.0	12.36	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G116258	5	373	1.9739229212317615	3.0260770787682385	1.584850277447468	1.1930769230769231	13.0	15.51	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
AC209257.4_FG008	9	879	1.8688424872995135	7.1311575127004865	1.4987805276669368	1.095	18.0	19.71	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G177878	3	146	1.8155301514740942	1.1844698485259058	1.4551132222229184	1.095	18.0	19.71	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G067122	2	23	1.8134054348212614	0.18659456517873857	1.453372899844903	1.095	18.0	19.71	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G095964	9	902	1.6822479221207747	7.317752077879225	1.3459438202576768	1.095	18.0	19.71	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G056598	3	172	1.604597164750303	1.395402835249697	1.282341292108103	1.095	18.0	19.71	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM5G827496	2	73	1.4077650757370472	0.5922349242629529	1.1211191880856424	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G167957	3	200	1.377438563663143	1.622561436336857	1.096279213522917	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G316362	2	84	1.3185241967385202	0.6814758032614799	1.0480233714986051	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G127537	6	578	1.3107974489864826	4.689202551013517	1.0416945125402957	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G152553	3	211	1.2881976846646157	1.7118023153353843	1.0231833969358795	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
AC190885.4_FG006	4	335	1.2822095941357645	2.7177904058642355	1.0182786450787098	1.045	24.0	25.08	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM5G829778	2	97	1.2130577033766243	0.7869422966233757	0.9616374064411973	1.0903448275862069	29.0	31.62	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G448692	2	106	1.1400424387414656	0.8599575612585343	0.9018317383245303	1.0903448275862069	29.0	31.62	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G368411	4	355	1.1199534505020785	2.8800465494979215	0.8853771603750054	1.0903448275862069	29.0	31.62	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G083538	2	124	0.9940119094711486	1.0059880905288514	0.7822204020911965	1.0903448275862069	29.0	31.62	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
GRMZM2G057733	1	2	0.9837743856366314	0.01622561436336857	0.7738350054779959	1.0903448275862069	29.0	31.62	0.039018320062654675	1.2208753272803978	ZmPAN	ZmIonome	Al27	20000	1	342	307	0.53	100	locality	strongest
