gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G434098	8	285	4.714882767769719	3.2851172322302813	4.672422332694391	1.185	1.0	1.185	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G154595	12	785	2.9515192024534365	9.048480797546564	2.9222923469577347	2.0616666666666665	3.0	6.185	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G406974	5	179	2.9367158436167706	2.0632841563832294	2.9076000834340627	2.0616666666666665	3.0	6.185	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G038982	4	116	2.6628996528466224	1.3371003471533776	2.635838811128841	1.938125	4.0	7.7525	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G340305	3	51	2.4121369163377393	0.5878630836622609	2.3869579829765026	1.956	5.0	9.78	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G061728	4	161	2.144196931968157	1.8558030680318431	2.121028817688964	1.3380555555555556	9.0	12.0425	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G303768	4	169	2.0519831149230963	1.9480168850769037	2.0295070410774305	1.3380555555555556	9.0	12.0425	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G012156	5	256	2.049157854558063	2.950842145441937	2.0267029835480512	1.3380555555555556	9.0	12.0425	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G025685	10	691	2.035031552732897	7.964968447267103	2.0126826959011557	1.3380555555555556	9.0	12.0425	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G448692	8	520	2.006101892071066	5.993898107928934	1.9839701447305893	1.1713461538461538	13.0	15.2275	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM5G847982	3	87	1.9971747396349668	1.0028252603650332	1.9751099882246013	1.1713461538461538	13.0	15.2275	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G127537	2	10	1.8847327286936744	0.11526727130632566	1.8635118249895632	1.1713461538461538	13.0	15.2275	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G156950	5	272	1.864730220467942	3.135269779532058	1.843659430324984	1.1713461538461538	13.0	15.2275	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G432801	9	632	1.7151084534402186	7.284891546559781	1.6951605352901675	1.097777777777778	18.0	19.76	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
GRMZM2G152553	2	25	1.711831821734186	0.28816817826581415	1.6919084938429378	1.097777777777778	18.0	19.76	0.0071299891808707435	1.0075614838254752	ZmRoot	ZmIonome	Al27	20000	2	342	307	0.13	400	locality	strongest
