gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G153615	0.10428020736202598	25423	1.1345687608828763	18.975	2.0	37.95	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM5G844894	0.09951478114041189	25423	1.0820734000890513	18.975	2.0	37.95	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G446213	0.08599611236942499	25423	0.9331533745588265	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
AC207628.4_FG010	0.0836635066495676	25423	0.9074576711402604	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G134703	0.08304884240039558	25423	0.9006866038680402	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G303999	0.08257949504380425	25423	0.8955163299668016	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
AC209257.4_FG008	0.0812473272349702	25423	0.8808413299750956	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G103490	0.08124447224351267	25423	0.8808098797333633	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G101408	0.07959630802739412	25423	0.8626539014118042	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G353209	0.0758714772735922	25423	0.8216216148495042	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
AC199067.2_FG004	0.07487673467853002	25423	0.8106636503367125	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G166297	0.07065416320563397	25423	0.7641483120146114	4.3500000000000005	12.0	52.2	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G025977	0.06897268991917371	25423	0.7456254049895159	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G057075	0.06810217330439224	25423	0.7360358989002799	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G095964	0.06623583126201993	25423	0.71547649994565	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G020843	0.06534751469735056	25423	0.7056909117542007	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G340305	0.06507800833218627	25423	0.7027220621240537	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G031991	0.06329936979752449	25423	0.6831287944378643	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM5G826911	0.06290169420338186	25423	0.6787480480318597	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G040736	0.061679116344229054	25423	0.6652802777149729	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G145654	0.058861503239313606	25423	0.6342417914093665	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G002128	0.0571628276957199	25423	0.6155293863933898	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G083538	0.056200102054780085	25423	0.6049241167876243	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G012156	0.05491809322602219	25423	0.5908016620738631	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G120652	0.053966049822130505	25423	0.5803140667036956	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G368411	0.05387140660236279	25423	0.5792714884038026	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM5G897604	0.05369780505550027	25423	0.5773591146909163	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G004990	0.05181273806322549	25423	0.5565934439454194	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G067122	0.05165429383799035	25423	0.5548480414603927	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM5G847982	0.051421390630171766	25423	0.5522824077991219	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G063533	0.050674175294116136	25423	0.5440511737325847	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G073465	0.050292367965864414	25423	0.5398452302307437	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G064031	0.04881261095611585	25423	0.5235444053933734	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
GRMZM2G133282	0.04779657362598098	25423	0.5123518606460624	2.006	35.0	70.21	0.001286273391932245	0.09077804494630008	ZmSAM	ZmIonome	Al27	20000	1	342	307	0.91	100	density	strongest
