gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G004583	6	398	2.7180335929317185	3.2819664070682815	3.8782933633021113	1.85	1.0	1.85	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G116258	3	104	2.142400737851504	0.8575992621484957	3.054018888789798	1.82	2.0	3.64	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G040300	7	625	1.8461582803575984	5.153841719642402	2.6298160417424414	1.375	4.0	5.5	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G101457	2	19	1.843323211722871	0.15667678827712903	2.6257563799485175	1.375	4.0	5.5	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G149093	4	307	1.4684329473116522	2.531567052688348	2.0889342146218377	1.6620000000000001	5.0	8.31	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G320325	2	104	1.1424007378515042	0.8575992621484957	1.6220740871028778	1.6171428571428572	7.0	11.32	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G162451	7	711	1.1369896597348035	5.8630103402651965	1.6143257219221463	1.6171428571428572	7.0	11.32	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G566786	5	488	0.9758803853032125	4.0241196146967875	1.3836261338962783	1.56	10.0	15.6	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G134703	1	8	0.9340308259885772	0.06596917401142274	1.323699874982798	1.56	10.0	15.6	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G154595	1	9	0.9257846792371494	0.07421532076285059	1.3118918480081432	1.56	10.0	15.6	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G067122	1	21	0.8268309182200153	0.1731690817799847	1.1701955243122883	1.5938461538461537	13.0	20.72	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G100402	1	24	0.8020924779657318	0.19790752203426823	1.1347714433883247	1.5938461538461537	13.0	20.72	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G163671	1	25	0.7938463312143039	0.20615366878569608	1.12296341641367	1.5938461538461537	13.0	20.72	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
AC207628.4_FG010	1	36	0.7031387169485976	0.29686128305140236	0.9930751196924695	1.4652941176470589	17.0	24.91	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
GRMZM2G305254	1	38	0.6866464234457419	0.31335357655425805	0.9694590657431603	1.4652941176470589	17.0	24.91	0.00962377243218529	0.6983509411968518	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.74	100	locality	strongest
