gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G036685	3	74	-3.620562867310456	6.620562867310456	-0.9632849767588201						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G032253	48	577	-3.6224969518666583	51.62249695186666	-0.9637991716729247						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G159008	14	197	-3.6250119575697255	17.625011957569725	-0.9644678100410428						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G054225	58	689	-3.6428083186068108	61.64280831860681	-0.9691991431699357						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G122335	17	231	-3.666892193901557	20.666892193901557	-0.9756020722191218						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G409771	26	332	-3.7030658371225833	29.703065837122583	-0.9852191819309185						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G093503	7	120	-3.736047892935874	10.736047892935874	-0.9939877775445515						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G142043	6	109	-3.7519101694167514	9.751910169416751	-0.9982049157593382						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
AC215198.3_FG002	0	42	-3.757616762527556	3.757616762527556	-0.9997220682256203						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G033671	4	87	-3.7836347223785083	7.783634722378508	-1.0066391921889122						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G458538	20	266	-3.7982394960078523	23.798239496007852	-1.0105220112196398						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM5G878541	20	267	-3.88770656178232	23.88770656178232	-1.03430768804208						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G005791	25	323	-3.8978622451523925	28.897862245152393	-1.0370076737905844						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM5G862663	30	379	-3.9080179285224688	33.90801792852247	-1.03970765953909						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G322618	1	55	-3.9206886175956086	4.920688617595609	-1.0430762836557126						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G085236	33	413	-3.9498981648542966	36.9498981648543	-1.050841921717168						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G092123	121	1397	-3.98549088692846	124.98549088692846	-1.0603045879749518						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G123519	2	67	-3.994293406889196	5.994293406889196	-1.062644822263365						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G059497	1	56	-4.010155683370074	5.010155683370074	-1.0668619604781522						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G180732	11	168	-4.030467050110223	15.030467050110223	-1.0722619319751623						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G043776	3	79	-4.067898196182783	7.067898196182783	-1.082213360871018						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G150541	2	68	-4.083760472663662	6.083760472663662	-1.086430499085805						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G006791	18	247	-4.098365246293007	22.098365246293007	-1.090313318116533						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G464137	5	102	-4.125640708995492	9.125640708995492	-1.0975647612638837						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G033198	2	69	-4.173227538438128	6.173227538438128	-1.1102161759082445						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G058289	22	293	-4.2138502719184245	26.213850271918425	-1.1210161189022643						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G138632	2	70	-4.262694604212593	6.262694604212593	-1.134001852730684						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G129817	1	59	-4.278556880693471	5.278556880693471	-1.138218990945471						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G092129	40	495	-4.2861975583604774	44.28619755836048	-1.1402503383258578						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G136522	88	1032	-4.3300118792485165	92.33001187924852	-1.1518987954180429						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G019807	46	564	-4.459425096798604	50.459425096798604	-1.1863045395044547						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G424241	4	95	-4.499371248574233	8.499371248574233	-1.196924606768429						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G000126	14	207	-4.519682615314384	18.519682615314384	-1.2023245782654395						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G031107	5	107	-4.5729760378678215	9.572976037867821	-1.2164931453760819						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G081803	16	230	-4.577425128127093	20.577425128127093	-1.2176759786583051						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G022921	9	152	-4.5989939977187735	13.598993997718773	-1.2234102693393736						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G149535	3	85	-4.6047005908295775	7.6047005908295775	-1.2249274218056556						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G031453	3	85	-4.6047005908295775	7.6047005908295775	-1.2249274218056556						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G080898	14	208	-4.609149681088848	18.609149681088848	-1.2261102550878786						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G015784	10	164	-4.672598787012362	14.672598787012362	-1.2429788079470265						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G465046	3	86	-4.6941676566040424	7.6941676566040424	-1.248713098628095						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G394962	107	1249	-4.744365152307552	111.74436515230755	-1.2620585839166072						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G134628	23	311	-4.824257455858806	27.824257455858806	-1.2832987184445546						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G103430	52	636	-4.90105383256013	56.90105383256013	-1.3037157711503713						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G074262	12	189	-4.909275431374002	16.909275431374002	-1.3059015619847716						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G084465	11	178	-4.92513770785488	15.92513770785488	-1.3101187001995582						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G013457	60	726	-4.953089752262031	64.95308975226203	-1.3175500190769538						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G018103	9	157	-5.046329326591101	14.046329326591101	-1.3423386534515713						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G106053	9	157	-5.046329326591101	14.046329326591101	-1.3423386534515713						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G120563	2	79	-5.067898196182783	7.067898196182783	-1.3480729441326404						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G021243	24	325	-5.076796376701324	29.076796376701324	-1.3504386106970865						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G004006	7	136	-5.167520945327324	12.167520945327324	-1.374558606703585						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G110869	2	82	-5.336299393506181	7.336299393506181	-1.4194299745999595						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G120574	17	250	-5.366766443616402	22.366766443616402	-1.427529931845474						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G380665	10	172	-5.388335313208085	15.388335313208085	-1.4332642225265428						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G021310	1	72	-5.441628735761524	6.441628735761524	-1.4474327896371857						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
GRMZM2G395114	19	274	-5.513976022203579	24.51397602220358	-1.4666670090607796						ZmPAN	ZmIonome	Co59	20000	5	3398	2328	0.028	1000	locality	strongest
