gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G097229	13	333	6.835695189423351	6.164304810576649	5.972235230383626	0.46	1.0	0.46	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G154960	15	552	4.781692926611681	10.218307073388319	4.173298288909102	1.2	2.0	2.4	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G025685	17	691	4.208604732407014	12.791395267592986	3.6713759970288278	0.5785714285714285	7.0	4.05	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
AC234156.1_FG005	24	1072	4.155751480666165	19.844248519333835	3.6250860446002875	0.5785714285714285	7.0	4.05	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G387076	16	643	4.0971531735712166	11.902846826428783	3.5737644558905104	0.5785714285714285	7.0	4.05	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G086934	20	860	4.080173762474722	15.919826237525278	3.5588935424455785	0.5785714285714285	7.0	4.05	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G061728	7	161	4.019660436928407	2.9803395630715928	3.5058947416420563	0.5785714285714285	7.0	4.05	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G305146	16	650	3.9675731925681035	12.032426807431897	3.4602756740510134	0.5788888888888889	9.0	5.21	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G040964	8	222	3.8904634596155674	4.109536540384433	3.3927414022213083	0.5788888888888889	9.0	5.21	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
GRMZM2G434098	9	285	3.7242436305875533	5.275756369412447	3.2471626965607046	0.5954545454545455	11.0	6.55	0.016676470959138497	1.1417866938282324	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.83	100	locality	strongest
