gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G024551	38	1238	11.556092198783304	26.443907801216696	5.665336163118073	0.24444444444444444	3.0	0.7333333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G074743	21	452	11.345196828634938	9.654803171365062	5.561932802852036	0.24444444444444444	3.0	0.7333333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G478568	48	1717	11.32456405921723	36.67543594078277	5.551816422924471	0.24444444444444444	3.0	0.7333333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
AC214046.4_FG005	28	840	10.057445433746345	17.942554566253655	4.930539987897968	0.2833333333333333	6.0	1.7	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G120652	46	1684	10.029450131462909	35.97054986853709	4.91681371061775	0.2833333333333333	6.0	1.7	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G301663	46	1690	9.901289027418244	36.098710972581756	4.8539754946611815	0.2833333333333333	6.0	1.7	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G414540	39	1374	9.651107173770807	29.348892826229193	4.731309718136399	0.24518518518518517	9.0	2.2066666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G474326	20	489	9.55487002035948	10.44512997964052	4.68412402108592	0.24518518518518517	9.0	2.2066666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G062470	46	1716	9.34592424322468	36.65407575677532	4.5816765588493755	0.24518518518518517	9.0	2.2066666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G090018	36	1262	9.043447782604627	26.956552217395373	4.4333703992239295	0.20309523809523808	14.0	2.8433333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G132212	19	472	8.917993148486042	10.082006851513958	4.371859182928941	0.20309523809523808	14.0	2.8433333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G423538	31	1036	8.87084936828716	22.12915063171284	4.348744283418447	0.20309523809523808	14.0	2.8433333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
AC190885.4_FG006	16	334	8.865698541513428	7.134301458486572	4.346218799828279	0.20309523809523808	14.0	2.8433333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G479038	33	1130	8.862992071587346	24.137007928412654	4.344891800166698	0.20309523809523808	14.0	2.8433333333333333	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G121151	42	1569	8.485871292319068	33.51412870768093	4.159987049649639	0.22479166666666667	16.0	3.5966666666666667	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G455749	31	1055	8.465005872145706	22.534994127854294	4.149756599555972	0.22479166666666667	16.0	3.5966666666666667	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G095964	27	901	7.754474209292212	19.245525790707788	3.8013783423055703	0.25796296296296295	18.0	4.6433333333333335	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
AC191048.2_FG006	38	1418	7.711259077443234	30.288740922556766	3.7801896844209497	0.25796296296296295	18.0	4.6433333333333335	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G044481	16	394	7.584087501066739	8.415912498933261	3.717836640262571	0.25855072463768114	23.0	5.946666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G179792	16	400	7.455926397022068	8.544073602977932	3.654998424306	0.25855072463768114	23.0	5.946666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
AC203571.3_FG001	25	827	7.335127825843127	17.664872174156873	3.595770105702082	0.25855072463768114	23.0	5.946666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G121468	30	1064	7.272764216078706	22.727235783921294	3.565192825587187	0.25855072463768114	23.0	5.946666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G100412	12	227	7.151238230310025	4.848761769689975	3.5056078509180715	0.25855072463768114	23.0	5.946666666666666	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G420733	21	650	7.115880395160863	13.884119604839137	3.4882716762852013	0.2906410256410256	26.0	7.556666666666667	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G083725	41	1590	7.037307428162727	33.96269257183727	3.449746843767712	0.2906410256410256	26.0	7.556666666666667	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM5G852704	19	568	6.867415483771339	12.132584516228661	3.3664477276238087	0.2906410256410256	26.0	7.556666666666667	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G151873	16	446	6.4733579326796065	9.526642067320394	3.1732387686389574	0.321	30.0	9.63	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
GRMZM2G054233	16	450	6.387917196649829	9.612082803350171	3.131346624667911	0.321	30.0	9.63	0.0014080563943449343	2.039540780935676	ZmPAN	ZmIonome	Al27	500000	2	342	167	0.18666666666666668	300	locality	strongest
