gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G083538	0.2426959295840978	89676	2.7344661124240703	2.61	1.0	2.61	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G445261	0.2209115526020986	89676	2.4885954727773343	1.044	5.0	5.22	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G445169	0.21953939672855227	89676	2.473108555588808	1.044	5.0	5.22	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
AC203571.3_FG001	0.21387561424927767	89676	2.40918394474729	1.044	5.0	5.22	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G093032	0.20076983786707797	89676	2.2612648362586154	1.044	5.0	5.22	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G434098	0.19548868400075636	89676	2.201658785543542	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G406974	0.18732384225200216	89676	2.1095058235818844	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G025685	0.18612984309118613	89676	2.096029682508395	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G105855	0.18353170385474993	89676	2.06670563268674	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G445684	0.18200824132312743	89676	2.049510984088923	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G007899	0.17830455266246825	89676	2.007709086297625	0.889090909090909	11.0	9.78	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G040679	0.1761150596248454	89676	1.9829972456006317	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G111679	0.17603567279698726	89676	1.9821012415440946	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G433847	0.16852757503773458	89676	1.8973606588722522	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
AC234156.1_FG005	0.16776155060251854	89676	1.8887148794667992	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G002128	0.16225624614617548	89676	1.8265789400617112	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G020500	0.16041921681042548	89676	1.80584520146529	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G063533	0.15767266280878495	89676	1.7748460597516815	0.9763888888888889	18.0	17.575	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G114680	0.1546811271980669	89676	1.7410819188381719	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G305146	0.15349101785226102	89676	1.727649680388358	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G027821	0.153185846339205	89676	1.7242053443314196	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G034471	0.15306183761269873	89676	1.7228057126167704	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G151516	0.15256456558560066	89676	1.717193222919128	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G017145	0.14764433857759734	89676	1.6616607942127872	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G016480	0.14709848267472045	89676	1.6554999597713804	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
AC205122.4_FG010	0.1435421068038589	89676	1.6153607163624233	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G121221	0.1432055753784837	89676	1.611562434828524	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G179792	0.14207361461219523	89676	1.5987864937083198	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G061728	0.13933748679681238	89676	1.567905027753186	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G127537	0.13841044389608567	89676	1.5574419040581644	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G009265	0.13798955905193824	89676	1.552691562750095	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G086971	0.1370915114676571	89676	1.5425556963829796	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G159807	0.13649429170159905	89676	1.5358151407080707	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G096683	0.13516373141840876	89676	1.520797694572849	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G136400	0.13479808651206582	89676	1.5166708220402814	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G107076	0.1346072212106579	89676	1.5145166096989182	0.8151388888888889	36.0	29.345	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM5G809195	0.13238759248516627	89676	1.4894646408055294	0.8121929824561404	57.0	46.295	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
GRMZM2G412430	0.13062192262282762	89676	1.4695363050621253	0.8121929824561404	57.0	46.295	0.00041958165115521496	0.08860096924666863	ZmRoot	ZmIonome	Al27	100000	1	342	256	0.26	200	density	strongest
