gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G445169	0.405430521070053	21940	4.061516572581286	0.021	1.0	0.021	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM5G847982	0.3679342084172843	21940	3.6852852224126114	0.049	2.0	0.098	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G020500	0.3405361775894823	21940	3.4103782408711667	0.03266666666666667	6.0	0.196	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G166297	0.3399929547346031	21940	3.404927639100633	0.03266666666666667	6.0	0.196	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
AC199067.2_FG004	0.33900220478154075	21940	3.394986629808012	0.03266666666666667	6.0	0.196	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G406974	0.3276813606095787	21940	3.2813952874456596	0.03266666666666667	6.0	0.196	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G034471	0.2969658951915335	21940	2.9732017556628194	0.0811	10.0	0.811	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G433847	0.2788777663653653	21940	2.791708679441852	0.0811	10.0	0.811	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G111679	0.2781539579692225	21940	2.784446114382028	0.0811	10.0	0.811	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G067122	0.2756171226156118	21940	2.7589919584205322	0.0811	10.0	0.811	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G083725	0.2707153960985194	21940	2.7098089040023243	0.09364705882352942	17.0	1.592	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
GRMZM2G412430	0.2668018717403439	21940	2.6705412947622023	0.09364705882352942	17.0	1.592	0.0006479446536194666	0.09966291388518823	ZmRoot	ZmIonome	Al27	10000	2	342	312	0.009	1000	density	strongest
