gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G474326	26	489	14.384592069320055	11.615407930679945	7.079450282229635	0.07571428571428572	2.0	0.15142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G074743	25	452	14.26346751601772	10.73653248398228	7.019756266407173	0.07571428571428572	2.0	0.15142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G414540	46	1374	13.362841519929972	32.63715848007003	6.575899253152491	0.08	3.0	0.24	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G455749	37	1055	11.940173073890914	25.059826926109086	5.874763187733995	0.11428571428571428	5.0	0.5714285714285714	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G301663	52	1690	11.85677013732289	40.14322986267711	5.833659579263264	0.11428571428571428	5.0	0.5714285714285714	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G162451	41	1246	11.403275497694864	29.596724502305136	5.610163058902227	0.11142857142857143	7.0	0.78	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
AC191048.2_FG006	45	1418	11.317692340073286	33.682307659926714	5.5679849684497755	0.11142857142857143	7.0	0.78	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G127537	24	578	10.270540319155401	13.729459680844599	5.051915289751612	0.1675	8.0	1.34	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G132212	21	472	9.788399706991955	11.211600293008045	4.814301126921249	0.17285714285714288	10.0	1.7285714285714286	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G121151	47	1570	9.707176991477475	37.292823008522525	4.774272000432234	0.17285714285714288	10.0	1.7285714285714286	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G179792	19	400	9.498643819484707	9.501356180515293	4.671500249131134	0.14761904761904762	15.0	2.2142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G423538	34	1036	9.39148749246539	24.60851250753461	4.6186902175878055	0.14761904761904762	15.0	2.2142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G062470	50	1716	9.239181985589397	40.7608180144106	4.543629240358771	0.14761904761904762	15.0	2.2142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G478568	50	1717	9.215428595138107	40.78457140486189	4.5319228172861745	0.14761904761904762	15.0	2.2142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM5G827365	47	1593	9.160849011097845	37.839150988902155	4.505024269762533	0.14761904761904762	15.0	2.2142857142857144	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G120652	49	1684	8.999290480030616	40.000709519969384	4.425403109173329	0.163015873015873	18.0	2.934285714285714	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G034360	32	976	8.816690919542687	23.183309080457313	4.335412262926544	0.163015873015873	18.0	2.934285714285714	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G132811	19	435	8.66727515368962	10.33272484631038	4.261775441590285	0.163015873015873	18.0	2.934285714285714	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G531230	55	1952	8.633381839085374	46.366618160914626	4.2450717427686975	0.16645962732919256	23.0	3.8285714285714287	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
GRMZM2G420733	24	650	8.560296206662649	15.439703793337351	4.2090528285247215	0.16645962732919256	23.0	3.8285714285714287	0.019747599625319804	2.0290903808947442	ZmPAN	ZmIonome	Al27	100000	2	342	256	0.1742857142857143	350	locality	strongest
