gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G121151	23	1570	6.340479040244897	16.659520959755103	4.498083703933196	0.64	2.0	1.28	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G078174	23	1590	6.12825584330534	16.87174415669466	4.346957064578979	0.64	2.0	1.28	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G166297	9	417	4.575146343810268	4.424853656189732	3.2409694883261984	0.8424999999999999	6.0	5.055	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G010871	8	326	4.540761889885246	3.459238110114754	3.21648391350377	0.8424999999999999	6.0	5.055	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G566786	10	536	4.312418322019914	5.687581677980086	3.0538777680527276	0.8424999999999999	6.0	5.055	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G142664	7	257	4.272931919326712	2.7270680806732877	3.025759035391706	0.8424999999999999	6.0	5.055	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G120652	22	1685	4.1201956578424515	17.87980434215755	2.9169937437623603	0.795	8.0	6.36	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM5G846057	11	653	4.070912619923514	6.929087380076486	2.881898711714678	0.795	8.0	6.36	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G002128	9	482	3.8854209537567135	5.1145790462432865	2.749807910425003	0.7413636363636363	11.0	8.155	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G160585	12	783	3.6914618398164034	8.308538160183597	2.6116873397963887	0.7413636363636363	11.0	8.155	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G337819	6	231	3.5488220753481343	2.4511779246518657	2.5101118826680815	0.7413636363636363	11.0	8.155	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G177878	5	146	3.4507706623412453	1.549229337658755	2.4402883160393887	0.7934615384615384	13.0	10.315	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G082487	9	530	3.3760852811017807	5.623914718898219	2.3871039759748895	0.7934615384615384	13.0	10.315	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G093032	8	459	3.1294776302372025	4.8705223697627975	2.211491761798247	0.9328571428571429	14.0	13.06	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G478568	21	1717	2.7806385427391653	18.219361457260835	1.9630793369115167	1.034375	16.0	16.55	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G419806	4	132	2.599326900198934	1.400673099801066	1.833965179703236	1.034375	16.0	16.55	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G368411	6	355	2.233038254322891	3.766961745677109	1.5731267186719544	1.1633333333333333	18.0	20.94	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G056598	4	172	2.1748805063198233	1.825119493680177	1.531711900994808	1.1633333333333333	18.0	20.94	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G116258	6	373	2.042037377077291	3.957962622922709	1.4371127432531616	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G066528	3	92	2.023773294078045	0.9762267059219552	1.4241066745275612	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G039824	2	5	1.9469442007651112	0.053055799234888866	1.3693957718342897	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G327059	8	572	1.930416567528714	6.069583432471286	1.3576262494469367	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G320325	3	101	1.9282728554552448	1.0717271445447552	1.3560996868181647	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
AC196202.3_FG007	2	7	1.9257218810711556	0.07427811892884441	1.3542831078988684	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G022359	2	7	1.9257218810711556	0.07427811892884441	1.3542831078988684	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G068690	3	102	1.9176616956082673	1.0823383043917327	1.3485433548504542	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G026807	10	766	1.8718515572150256	8.128148442784974	1.3159214154792653	0.9681481481481482	27.0	26.14	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
GRMZM2G067122	2	23	1.7559433235195112	0.2440566764804888	1.233381796415497	0.9482857142857142	35.0	33.19	0.02393744420628268	1.4042739112469897	ZmPAN	ZmIonome	Al27	50000	1	342	274	0.265	200	locality	strongest
