gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G445169	0.2790768808649423	248857	3.3680077681146696	0.108	2.0	0.216	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G083538	0.2709607038409131	248857	3.2699548674019843	0.108	2.0	0.216	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G122712	0.26501930017523345	248857	3.1981757696814594	0.08914285714285715	7.0	0.624	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G434098	0.26490666506244637	248857	3.1968150059255462	0.08914285714285715	7.0	0.624	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G099144	0.2619073983385331	248857	3.160580359808287	0.08914285714285715	7.0	0.624	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
AC203571.3_FG001	0.25462028880704296	248857	3.07254356301859	0.08914285714285715	7.0	0.624	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G009804	0.24917437641412432	248857	3.006750578763579	0.08914285714285715	7.0	0.624	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G025685	0.24082718502629447	248857	2.905906754638321	0.1791111111111111	9.0	1.612	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G040679	0.23105106247618137	248857	2.7877997726290245	0.1791111111111111	9.0	1.612	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
AC216871.3_FG004	0.22484216181137812	248857	2.7127889986379654	0.27085714285714285	14.0	3.792	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G406974	0.22447113174919284	248857	2.708306522006275	0.27085714285714285	14.0	3.792	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G433847	0.22016990215305646	248857	2.6563426432880344	0.27085714285714285	14.0	3.792	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G013986	0.2173842121338279	248857	2.6226882532885245	0.27085714285714285	14.0	3.792	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G445261	0.20726571013768658	248857	2.5004449275636986	0.27085714285714285	14.0	3.792	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G084899	0.20585725717730768	248857	2.483429170283683	0.28113793103448276	29.0	8.153	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G093032	0.20540807342824746	248857	2.478002505806312	0.28113793103448276	29.0	8.153	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
GRMZM2G111679	0.202770738415367	248857	2.446140417609069	0.28113793103448276	29.0	8.153	0.00029525313500700323	0.08277345152502145	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.048	1000	density	strongest
