gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G025685	22	691	8.136844981508098	13.863155018491902	6.6146322809555524	0.22	1.0	0.22	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G086934	24	860	6.746290425610656	17.253709574389344	5.482775754243136	0.44333333333333336	2.0	0.8866666666666667	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM5G825512	16	536	5.246525195496874	10.753474804503126	4.2620260489968835	0.7333333333333334	3.0	2.2	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G434098	10	285	4.2822008968593455	5.7177991031406545	3.477104129428011	1.3583333333333334	4.0	5.433333333333334	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G040679	8	208	3.827009777356996	4.172990222643004	3.1065965234335398	1.3853333333333333	5.0	6.926666666666667	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G406155	5	79	3.4150662135153977	1.5849337864846025	2.771290720871648	0.9711111111111111	9.0	8.74	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G406974	7	179	3.4088209141677996	3.5911790858322004	2.7662072936893973	0.9711111111111111	9.0	8.74	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G100639	24	1027	3.395860775700168	20.604139224299832	2.75565825248172	0.9711111111111111	9.0	8.74	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G110057	6	130	3.3918811108481224	2.6081188891518776	2.7524189623597954	0.9711111111111111	9.0	8.74	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G433847	4	37	3.2576892392413885	0.7423107607586112	2.6431920750969566	0.9166666666666666	12.0	11.0	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G113652	9	292	3.1417637259050135	5.8582362740949865	2.5488332825376947	0.9166666666666666	12.0	11.0	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G387076	16	643	3.0998427251949447	12.900157274805055	2.5147112424790903	0.9166666666666666	12.0	11.0	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G305146	16	650	2.959405554240613	13.040594445759387	2.400400928034001	0.9475555555555555	15.0	14.213333333333333	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
GRMZM2G097843	4	53	2.936689991345773	1.0633100086542269	2.381911356365324	0.9475555555555555	15.0	14.213333333333333	0.01036707835415496	1.2285607964257066	ZmRoot	ZmIonome	Al27	50000	2	342	274	0.48	150	locality	strongest
