gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G025685	26	691	7.202234885404184	18.797765114595816	4.7354165294890835	2.55	1.0	2.55	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G040679	12	208	6.3416278670970625	5.6583721329029375	4.168848681956288	1.3433333333333335	3.0	4.03	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G023220	17	398	6.172922553387648	10.827077446612352	4.057784044528968	1.3433333333333335	3.0	4.03	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G154960	21	552	5.983550878065282	15.016449121934718	3.933114014900202	0.8466666666666667	6.0	5.08	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G040964	12	222	5.960775896613211	6.039224103386789	3.918120444147919	0.8466666666666667	6.0	5.08	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G097229	15	333	5.941163844919817	9.058836155080183	3.905209141221892	0.8466666666666667	6.0	5.08	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G086934	29	860	5.604807527420547	23.395192472579453	3.68377395564267	0.81375	8.0	6.51	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G163421	23	648	5.371994509033158	17.628005490966842	3.5305049630601757	0.81375	8.0	6.51	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G301663	9	160	4.6474060516131255	4.3525939483868745	3.053482914744655	1.003	10.0	10.03	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G061728	9	161	4.620202339435707	4.379797660564293	3.0355737549011996	1.003	10.0	10.03	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G009265	21	611	4.378531859597622	16.621468140402378	2.8764735841363613	1.1836363636363636	11.0	13.02	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G406974	9	179	4.130535520242184	4.869464479757816	2.713208877719011	1.013125	16.0	16.21	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G139963	19	547	4.119569438952372	14.880430561047628	2.70598952098583	1.013125	16.0	16.21	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G153292	21	622	4.079291025646025	16.920708974353975	2.6794728258583573	1.013125	16.0	16.21	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G113652	12	292	4.056516044193954	7.943483955806046	2.664479255106074	1.013125	16.0	16.21	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G032214	15	407	3.9280891437908867	11.071910856209113	2.579931312806227	1.013125	16.0	16.21	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G097040	19	561	3.7387174684685203	15.26128253153148	2.455261283177461	1.046315789473684	19.0	19.88	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G387076	21	643	3.5080130699202456	17.491986930079754	2.303380469145803	1.046315789473684	19.0	19.88	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
GRMZM2G059865	25	792	3.4546599554849706	21.54534004451503	2.268256238734313	1.046315789473684	19.0	19.88	0.009216930657004728	1.5189831580714723	ZmRoot	ZmIonome	Al27	100000	2	342	256	0.66	100	locality	strongest
